event_type,ticker,day_type,time_frame,slot,inf_range,sup_range,prob_up,prob_down,count_of_klines_inside_range
5m,BTC,weekend,tf1,7,-70.0,-60.0,0.3047619047619047,0.6952380952380952,103
5m,BTC,weekend,tf1,7,-60.0,-50.0,0.3,0.7,138
5m,BTC,weekend,tf1,7,-50.0,-40.0,0.36,0.64,198
5m,BTC,weekend,tf1,7,-40.0,-30.0,0.2969924812030075,0.7030075187969924,264
5m,BTC,weekend,tf1,7,-30.0,-20.0,0.3669467787114845,0.6330532212885154,355
5m,BTC,weekend,tf1,7,-20.0,-10.0,0.3808510638297872,0.6191489361702127,468
5m,BTC,weekend,tf1,7,-10.0,0.0,0.4473684210526316,0.5526315789473684,587
5m,BTC,weekend,tf1,7,0.0,10.0,0.544055944055944,0.4559440559440559,713
5m,BTC,weekend,tf1,7,10.0,20.0,0.5989795918367347,0.4010204081632653,488
5m,BTC,weekend,tf1,7,20.0,30.0,0.6657608695652174,0.3342391304347826,366
5m,BTC,weekend,tf1,7,30.0,40.0,0.6332179930795848,0.3667820069204152,287
5m,BTC,weekend,tf1,7,40.0,50.0,0.6587677725118484,0.3412322274881516,209
5m,BTC,weekend,tf1,7,50.0,60.0,0.6783216783216783,0.3216783216783216,141
5m,BTC,weekend,tf1,7,60.0,70.0,0.7264150943396226,0.2735849056603774,104
5m,BTC,weekend,tf1,7,70.0,80.0,0.7874999999999999,0.2125000000000001,78
5m,BTC,weekend,tf1,7,80.0,90.0,0.6851851851851852,0.3148148148148147,52
5m,BTC,weekend,tf1,7,90.0,100.0,0.7906976744186046,0.2093023255813954,41
5m,BTC,weekend,tf1,7,100.0,110.0,0.8620689655172413,0.1379310344827586,27
5m,BTC,weekend,tf1,7,110.0,120.0,0.72,0.28,23
5m,BTC,weekend,tf1,7,120.0,130.0,0.7931034482758621,0.2068965517241379,27
5m,BTC,weekend,tf1,7,130.0,140.0,0.8333333333333334,0.1666666666666666,22
5m,BTC,weekend,tf1,8,-160.0,-150.0,0.08,0.92,23
5m,BTC,weekend,tf1,8,-140.0,-130.0,0.1363636363636363,0.8636363636363636,20
5m,BTC,weekend,tf1,8,-130.0,-120.0,0.21875,0.78125,30
5m,BTC,weekend,tf1,8,-120.0,-110.0,0.1923076923076923,0.8076923076923077,24
5m,BTC,weekend,tf1,8,-110.0,-100.0,0.2448979591836734,0.7551020408163265,47
5m,BTC,weekend,tf1,8,-100.0,-90.0,0.2142857142857142,0.7857142857142857,61
5m,BTC,weekend,tf1,8,-90.0,-80.0,0.2857142857142857,0.7142857142857143,68
5m,BTC,weekend,tf1,8,-80.0,-70.0,0.2696629213483146,0.7303370786516854,87
5m,BTC,weekend,tf1,8,-70.0,-60.0,0.3018867924528302,0.6981132075471699,104
5m,BTC,weekend,tf1,8,-60.0,-50.0,0.2977099236641221,0.7022900763358779,129
5m,BTC,weekend,tf1,8,-50.0,-40.0,0.3548387096774194,0.6451612903225806,184
5m,BTC,weekend,tf1,8,-40.0,-30.0,0.3056603773584905,0.6943396226415095,263
5m,BTC,weekend,tf1,8,-30.0,-20.0,0.3389057750759878,0.6610942249240122,327
5m,BTC,weekend,tf1,8,-20.0,-10.0,0.3899572649572649,0.6100427350427351,466
5m,BTC,weekend,tf1,8,-10.0,0.0,0.4407079646017699,0.55929203539823,563
5m,BTC,weekend,tf1,8,0.0,10.0,0.5434451219512195,0.4565548780487805,654
5m,BTC,weekend,tf1,8,10.0,20.0,0.577922077922078,0.422077922077922,460
5m,BTC,weekend,tf1,8,20.0,30.0,0.6762295081967213,0.3237704918032786,364
5m,BTC,weekend,tf1,8,30.0,40.0,0.6606498194945848,0.3393501805054152,275
5m,BTC,weekend,tf1,8,40.0,50.0,0.668141592920354,0.331858407079646,224
5m,BTC,weekend,tf1,8,50.0,60.0,0.6363636363636364,0.3636363636363636,163
5m,BTC,weekend,tf1,8,60.0,70.0,0.7339449541284404,0.2660550458715596,107
5m,BTC,weekend,tf1,8,70.0,80.0,0.7978723404255319,0.2021276595744681,92
5m,BTC,weekend,tf1,8,80.0,90.0,0.859375,0.140625,62
5m,BTC,weekend,tf1,8,90.0,100.0,0.7169811320754716,0.2830188679245283,51
5m,BTC,weekend,tf1,8,100.0,110.0,0.7142857142857143,0.2857142857142857,40
5m,BTC,weekend,tf1,8,110.0,120.0,0.8285714285714286,0.1714285714285713,33
5m,BTC,weekend,tf1,8,120.0,130.0,0.9310344827586208,0.0689655172413793,27
5m,BTC,weekend,tf1,8,130.0,140.0,0.7727272727272727,0.2272727272727273,20
5m,BTC,weekend,tf1,9,-150.0,-140.0,0.1538461538461538,0.8461538461538461,24
5m,BTC,weekend,tf1,9,-140.0,-130.0,0.1333333333333333,0.8666666666666667,28
5m,BTC,weekend,tf1,9,-130.0,-120.0,0.1153846153846153,0.8846153846153846,24
5m,BTC,weekend,tf1,9,-120.0,-110.0,0.1714285714285714,0.8285714285714285,33
5m,BTC,weekend,tf1,9,-110.0,-100.0,0.1964285714285714,0.8035714285714286,54
5m,BTC,weekend,tf1,9,-100.0,-90.0,0.1274509803921568,0.8725490196078431,49
5m,BTC,weekend,tf1,9,-90.0,-80.0,0.2435897435897435,0.7564102564102564,76
5m,BTC,weekend,tf1,9,-80.0,-70.0,0.2421052631578947,0.7578947368421053,93
5m,BTC,weekend,tf1,9,-70.0,-60.0,0.2727272727272727,0.7272727272727273,97
5m,BTC,weekend,tf1,9,-60.0,-50.0,0.3121019108280254,0.6878980891719746,155
5m,BTC,weekend,tf1,9,-50.0,-40.0,0.3107344632768362,0.6892655367231638,175
5m,BTC,weekend,tf1,9,-40.0,-30.0,0.3691756272401433,0.6308243727598566,277
5m,BTC,weekend,tf1,9,-30.0,-20.0,0.3634920634920635,0.6365079365079365,313
5m,BTC,weekend,tf1,9,-20.0,-10.0,0.3685968819599109,0.6314031180400891,447
5m,BTC,weekend,tf1,9,-10.0,0.0,0.4239543726235741,0.5760456273764258,524
5m,BTC,weekend,tf1,9,0.0,10.0,0.5388978930307942,0.4611021069692058,615
5m,BTC,weekend,tf1,9,10.0,20.0,0.5948660714285714,0.4051339285714286,446
5m,BTC,weekend,tf1,9,20.0,30.0,0.6635135135135135,0.3364864864864865,368
5m,BTC,weekend,tf1,9,30.0,40.0,0.6776556776556777,0.3223443223443223,271
5m,BTC,weekend,tf1,9,40.0,50.0,0.668724279835391,0.331275720164609,241
5m,BTC,weekend,tf1,9,50.0,60.0,0.7093023255813954,0.2906976744186046,170
5m,BTC,weekend,tf1,9,60.0,70.0,0.7086614173228346,0.2913385826771654,125
5m,BTC,weekend,tf1,9,70.0,80.0,0.7352941176470589,0.2647058823529411,100
5m,BTC,weekend,tf1,9,80.0,90.0,0.8378378378378378,0.1621621621621621,72
5m,BTC,weekend,tf1,9,90.0,100.0,0.8125,0.1875,46
5m,BTC,weekend,tf1,9,100.0,110.0,0.7105263157894737,0.2894736842105263,36
5m,BTC,weekend,tf1,9,110.0,120.0,0.7666666666666667,0.2333333333333332,28
5m,BTC,weekend,tf1,9,120.0,130.0,0.8064516129032258,0.1935483870967742,29
5m,BTC,weekend,tf1,9,130.0,140.0,0.945945945945946,0.054054054054054,35
5m,BTC,weekend,tf1,10,-150.0,-140.0,0.1304347826086956,0.8695652173913043,21
5m,BTC,weekend,tf1,10,-140.0,-130.0,0.1071428571428571,0.8928571428571429,26
5m,BTC,weekend,tf1,10,-130.0,-120.0,0.1428571428571428,0.8571428571428572,26
5m,BTC,weekend,tf1,10,-120.0,-110.0,0.1836734693877551,0.8163265306122449,47
5m,BTC,weekend,tf1,10,-110.0,-100.0,0.1896551724137931,0.8103448275862069,56
5m,BTC,weekend,tf1,10,-100.0,-90.0,0.2142857142857142,0.7857142857142857,61
5m,BTC,weekend,tf1,10,-90.0,-80.0,0.1447368421052631,0.8552631578947368,74
5m,BTC,weekend,tf1,10,-80.0,-70.0,0.268041237113402,0.731958762886598,95
5m,BTC,weekend,tf1,10,-70.0,-60.0,0.2149532710280373,0.7850467289719626,105
5m,BTC,weekend,tf1,10,-60.0,-50.0,0.2368421052631578,0.7631578947368421,150
5m,BTC,weekend,tf1,10,-50.0,-40.0,0.3575418994413408,0.6424581005586592,177
5m,BTC,weekend,tf1,10,-40.0,-30.0,0.3927272727272727,0.6072727272727273,273
5m,BTC,weekend,tf1,10,-30.0,-20.0,0.3144171779141104,0.6855828220858895,324
5m,BTC,weekend,tf1,10,-20.0,-10.0,0.3720657276995305,0.6279342723004695,424
5m,BTC,weekend,tf1,10,-10.0,0.0,0.4340866290018832,0.5659133709981168,529
5m,BTC,weekend,tf1,10,0.0,10.0,0.564373897707231,0.435626102292769,565
5m,BTC,weekend,tf1,10,10.0,20.0,0.6238839285714286,0.3761160714285714,446
5m,BTC,weekend,tf1,10,20.0,30.0,0.6671159029649596,0.3328840970350404,369
5m,BTC,weekend,tf1,10,30.0,40.0,0.6472727272727272,0.3527272727272728,273
5m,BTC,weekend,tf1,10,40.0,50.0,0.66,0.3399999999999999,223
5m,BTC,weekend,tf1,10,50.0,60.0,0.6761363636363635,0.3238636363636364,174
5m,BTC,weekend,tf1,10,60.0,70.0,0.7142857142857143,0.2857142857142857,117
5m,BTC,weekend,tf1,10,70.0,80.0,0.8,0.1999999999999999,98
5m,BTC,weekend,tf1,10,80.0,90.0,0.76,0.24,73
5m,BTC,weekend,tf1,10,90.0,100.0,0.8,0.1999999999999999,58
5m,BTC,weekend,tf1,10,100.0,110.0,0.8448275862068966,0.1551724137931034,56
