day_type,time_frame,slot,inf_range,sup_range,prob_up,prob_down,count_of_klines_inside_range,ticker
weekend,off,13,-30.0,-20.0,0.2882165605095541,0.7117834394904459,312,BTC
weekend,off,13,-20.0,-10.0,0.3569620253164557,0.6430379746835443,393,BTC
weekend,off,13,-10.0,0.0,0.394589552238806,0.605410447761194,534,BTC
weekend,off,13,0.0,10.0,0.5852017937219731,0.4147982062780269,667,BTC
weekend,off,13,10.0,20.0,0.6740196078431373,0.3259803921568627,406,BTC
weekend,off,13,20.0,30.0,0.7125382262996941,0.2874617737003059,325,BTC
weekend,off,13,30.0,40.0,0.7111913357400722,0.2888086642599278,275,BTC
weekend,off,13,40.0,50.0,0.6543778801843319,0.3456221198156681,215,BTC
weekend,off,13,50.0,60.0,0.7341772151898734,0.2658227848101265,156,BTC
weekend,off,13,60.0,70.0,0.7857142857142857,0.2142857142857143,124,BTC
weekend,off,13,70.0,80.0,0.8548387096774194,0.1451612903225806,91,BTC
weekend,off,13,80.0,90.0,0.8630136986301369,0.1369863013698631,71,BTC
weekend,off,13,90.0,100.0,0.8928571428571429,0.1071428571428571,54,BTC
weekend,off,13,100.0,110.0,0.7592592592592593,0.2407407407407407,52,BTC
weekend,off,13,110.0,120.0,0.8909090909090909,0.1090909090909091,53,BTC
weekend,off,13,120.0,130.0,0.9117647058823528,0.088235294117647,32,BTC
weekend,off,13,130.0,140.0,0.90625,0.09375,30,BTC
weekend,off,13,160.0,170.0,0.9090909090909092,0.0909090909090909,20,BTC
weekend,off,14,-190.0,-180.0,0.0909090909090909,0.9090909090909092,20,BTC
weekend,off,14,-150.0,-140.0,0.0588235294117647,0.9411764705882352,32,BTC
weekend,off,14,-140.0,-130.0,0.0625,0.9375,30,BTC
weekend,off,14,-130.0,-120.0,0.0444444444444444,0.9555555555555556,43,BTC
weekend,off,14,-120.0,-110.0,0.0444444444444444,0.9555555555555556,43,BTC
weekend,off,14,-110.0,-100.0,0.1132075471698113,0.8867924528301887,51,BTC
weekend,off,14,-100.0,-90.0,0.1351351351351351,0.8648648648648649,72,BTC
weekend,off,14,-90.0,-80.0,0.2037037037037037,0.7962962962962963,79,BTC
weekend,off,14,-80.0,-70.0,0.1744186046511628,0.8255813953488372,84,BTC
weekend,off,14,-70.0,-60.0,0.2831858407079646,0.7168141592920354,111,BTC
weekend,off,14,-60.0,-50.0,0.2687499999999999,0.7312500000000001,158,BTC
weekend,off,14,-50.0,-40.0,0.2203389830508474,0.7796610169491526,175,BTC
weekend,off,14,-40.0,-30.0,0.25,0.75,226,BTC
weekend,off,14,-30.0,-20.0,0.2602040816326531,0.7397959183673469,292,BTC
weekend,off,14,-20.0,-10.0,0.3234567901234568,0.6765432098765432,403,BTC
weekend,off,14,-10.0,0.0,0.4285714285714285,0.5714285714285714,481,BTC
weekend,off,14,0.0,10.0,0.562406015037594,0.437593984962406,663,BTC
