timestamp,underlying_price,yes_price,no_price,time_remaining_min,market_direction,market_threshold,equity
2024-12-01 21:40:00,236.8,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 21:45:00,237.27,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 21:50:00,237.47,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 21:55:00,237.24,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 22:00:00,237.5,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 22:05:00,237.57,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 22:10:00,236.84,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 22:15:00,237.17,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 22:20:00,237.93,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 22:25:00,237.72,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 22:30:00,238.14,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 22:35:00,238.22,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 22:40:00,238.22,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 22:45:00,238.77,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 22:50:00,238.29,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 22:55:00,238.28,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 23:00:00,238.56,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 23:05:00,238.92,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 23:10:00,238.73,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 23:15:00,238.09,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 23:20:00,238.42,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 23:25:00,238.49,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-01 23:30:00,238.09,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-01 23:35:00,238.18,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-01 23:40:00,237.9,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-01 23:45:00,237.41,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-01 23:50:00,237.18,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-01 23:55:00,236.8,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-02 00:00:00,236.64,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-02 00:05:00,235.5,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-02 00:10:00,235.67,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-02 00:15:00,235.08,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-02 00:20:00,236.22,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-02 00:25:00,235.94,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-02 00:30:00,236.2,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-02 00:35:00,236.23,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-02 00:40:00,235.91,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-02 00:45:00,234.73,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-02 00:50:00,234.67,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-02 00:55:00,235.0,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-02 01:00:00,235.47,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-02 01:05:00,235.55,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-02 01:10:00,234.9,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-02 01:15:00,235.1,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-02 01:20:00,236.35,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-02 01:25:00,237.13,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-02 01:30:00,236.5,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-02 01:35:00,237.59,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-02 01:40:00,235.58,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-02 01:45:00,235.97,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-02 01:50:00,236.15,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-02 01:55:00,237.75,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-02 02:00:00,237.31,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-02 02:05:00,236.35,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-02 02:10:00,236.08,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-02 02:15:00,234.6,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-02 02:20:00,234.91,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-02 02:25:00,234.89,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-02 02:30:00,234.39,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-02 02:35:00,234.63,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-02 02:40:00,234.97,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-02 02:45:00,235.13,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-02 02:50:00,234.42,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-02 02:55:00,234.04,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-02 03:00:00,233.79,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-02 03:05:00,233.77,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-02 03:10:00,233.97,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-02 03:15:00,233.17,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-02 03:20:00,233.24,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-02 03:25:00,232.86,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-02 03:30:00,231.71,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-02 03:35:00,231.41,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-02 03:40:00,230.67,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-02 03:45:00,230.75,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-02 03:50:00,230.27,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-02 03:55:00,228.47,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-02 04:00:00,229.58,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-02 04:05:00,228.25,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-02 04:10:00,227.31,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-02 04:15:00,227.25,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-02 04:20:00,227.49,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-02 04:25:00,228.37,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-02 04:30:00,228.6,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-02 04:35:00,228.95,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-02 04:40:00,228.82,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-02 04:45:00,228.48,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-02 04:50:00,228.7,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-02 04:55:00,229.37,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-02 05:00:00,228.96,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-02 05:05:00,229.83,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-02 05:10:00,229.84,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-02 05:15:00,230.22,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-02 05:20:00,229.87,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-02 05:25:00,229.55,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-02 05:30:00,228.74,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-02 05:35:00,228.81,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-02 05:40:00,228.57,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-02 05:45:00,228.2,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-02 05:50:00,228.44,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-02 05:55:00,228.5,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-02 06:00:00,227.98,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-02 06:05:00,227.5,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-02 06:10:00,227.29,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-02 06:15:00,227.4,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-02 06:20:00,226.19,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-02 06:25:00,227.06,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-02 06:30:00,227.41,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-02 06:35:00,227.82,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-02 06:40:00,227.91,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-02 06:45:00,228.39,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-02 06:50:00,228.37,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-02 06:55:00,228.36,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-02 07:00:00,228.78,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-02 07:05:00,229.07,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-02 07:10:00,228.24,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-02 07:15:00,227.92,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-02 07:20:00,227.12,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-02 07:25:00,228.0,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-02 07:30:00,227.89,0.01,0.98,15.0,up,5.0,9999.9902
2024-12-02 07:35:00,228.16,0.01,0.98,10.0,up,5.0,9999.9902
2024-12-02 07:40:00,228.42,0.01,0.98,5.0,up,5.0,9999.9902
2024-12-02 07:45:00,228.81,0.98,0.01,15.0,down,5.0,9999.9902
2024-12-02 07:50:00,228.65,0.98,0.01,10.0,down,5.0,9999.9902
2024-12-02 07:55:00,228.62,0.98,0.01,5.0,down,5.0,9999.9902
2024-12-02 08:00:00,228.0,0.01,0.98,15.0,up,5.0,9999.9902
