event_type,ticker,day_type,time_frame,slot,inf_range,sup_range,prob_up,prob_down,count_of_klines_inside_range
5m,BTC,weekend,tf1,10,50.0,60.0,0.803921568627451,0.196078431372549,49
5m,BTC,weekend,tf1,10,60.0,70.0,0.8936170212765957,0.1063829787234043,45
5m,BTC,weekend,tf1,10,80.0,90.0,0.8333333333333334,0.1666666666666666,22
5m,BTC,weekend,tf1,11,-80.0,-70.0,0.2564102564102564,0.7435897435897436,37
5m,BTC,weekend,tf1,11,-70.0,-60.0,0.108695652173913,0.8913043478260869,44
5m,BTC,weekend,tf1,11,-60.0,-50.0,0.1694915254237288,0.8305084745762712,57
5m,BTC,weekend,tf1,11,-50.0,-40.0,0.1785714285714286,0.8214285714285714,82
5m,BTC,weekend,tf1,11,-40.0,-30.0,0.2857142857142857,0.7142857142857143,124
5m,BTC,weekend,tf1,11,-30.0,-20.0,0.3058823529411764,0.6941176470588235,168
5m,BTC,weekend,tf1,11,-20.0,-10.0,0.396551724137931,0.603448275862069,230
5m,BTC,weekend,tf1,11,-10.0,0.0,0.4763406940063091,0.5236593059936909,315
5m,BTC,weekend,tf1,11,0.0,10.0,0.5681818181818182,0.4318181818181817,306
5m,BTC,weekend,tf1,11,10.0,20.0,0.6056034482758621,0.3943965517241379,230
5m,BTC,weekend,tf1,11,20.0,30.0,0.7159763313609467,0.2840236686390532,167
5m,BTC,weekend,tf1,11,30.0,40.0,0.7049180327868853,0.2950819672131147,120
5m,BTC,weekend,tf1,11,40.0,50.0,0.8058252427184466,0.1941747572815534,101
5m,BTC,weekend,tf1,11,50.0,60.0,0.8461538461538461,0.1538461538461538,63
5m,BTC,weekend,tf1,11,60.0,70.0,0.875,0.125,46
5m,BTC,weekend,tf1,11,70.0,80.0,0.90625,0.09375,30
5m,BTC,weekend,tf1,12,-100.0,-90.0,0.0652173913043478,0.9347826086956522,21
5m,BTC,weekend,tf1,12,-90.0,-80.0,0.1818181818181818,0.8181818181818181,20
5m,BTC,weekend,tf1,12,-80.0,-70.0,0.1764705882352941,0.8235294117647058,32
5m,BTC,weekend,tf1,12,-70.0,-60.0,0.24,0.76,48
5m,BTC,weekend,tf1,12,-60.0,-50.0,0.1320754716981132,0.8679245283018868,51
5m,BTC,weekend,tf1,12,-50.0,-40.0,0.1958762886597938,0.8041237113402062,95
5m,BTC,weekend,tf1,12,-40.0,-30.0,0.3089430894308943,0.6910569105691057,121
5m,BTC,weekend,tf1,12,-30.0,-20.0,0.2606060606060606,0.7393939393939394,163
5m,BTC,weekend,tf1,12,-20.0,-10.0,0.4122807017543859,0.5877192982456141,226
5m,BTC,weekend,tf1,12,-10.0,0.0,0.4617737003058104,0.5382262996941896,325
