minute,inf_range,sup_range,prob_up,prob_down,count_of_klines_inside_range,ticker
5,-200.0,-190.0,0.074074074074074,0.925925925925926,52,BTC
5,-190.0,-180.0,0.173076923076923,0.8269230769230769,50,BTC
5,-180.0,-170.0,0.2413793103448276,0.7586206896551724,56,BTC
5,-170.0,-160.0,0.1904761904761904,0.8095238095238095,61,BTC
5,-160.0,-150.0,0.2083333333333333,0.7916666666666666,94,BTC
5,-150.0,-140.0,0.2183908045977011,0.7816091954022988,85,BTC
5,-140.0,-130.0,0.1397849462365591,0.8602150537634409,91,BTC
5,-130.0,-120.0,0.2347826086956521,0.7652173913043478,113,BTC
5,-120.0,-110.0,0.2436974789915966,0.7563025210084033,117,BTC
5,-110.0,-100.0,0.2391304347826087,0.7608695652173914,182,BTC
5,-100.0,-90.0,0.2263157894736842,0.7736842105263158,188,BTC
5,-90.0,-80.0,0.2896174863387978,0.7103825136612022,181,BTC
5,-80.0,-70.0,0.3055555555555556,0.6944444444444444,214,BTC
5,-70.0,-60.0,0.285140562248996,0.714859437751004,247,BTC
5,-60.0,-50.0,0.2788844621513944,0.7211155378486056,249,BTC
5,-50.0,-40.0,0.3518518518518518,0.6481481481481481,295,BTC
5,-40.0,-30.0,0.3667621776504298,0.6332378223495703,347,BTC
5,-30.0,-20.0,0.3433583959899749,0.6566416040100251,397,BTC
5,-20.0,-10.0,0.4377880184331797,0.5622119815668203,432,BTC
5,-10.0,0.0,0.4547413793103448,0.5452586206896552,462,BTC
5,0.0,10.0,0.5236486486486487,0.4763513513513513,442,BTC
5,10.0,20.0,0.5930787589498807,0.4069212410501193,417,BTC
5,20.0,30.0,0.603448275862069,0.396551724137931,375,BTC
5,30.0,40.0,0.6434540389972145,0.3565459610027854,357,BTC
5,40.0,50.0,0.7326732673267327,0.2673267326732673,301,BTC
5,50.0,60.0,0.7153284671532847,0.2846715328467153,272,BTC
5,60.0,70.0,0.7436974789915967,0.2563025210084033,236,BTC
5,70.0,80.0,0.7009345794392523,0.2990654205607477,212,BTC
5,80.0,90.0,0.6939890710382514,0.3060109289617486,181,BTC
5,90.0,100.0,0.7452229299363057,0.2547770700636943,155,BTC
5,100.0,110.0,0.7342657342657343,0.2657342657342657,141,BTC
5,110.0,120.0,0.8062015503875969,0.1937984496124031,127,BTC
5,120.0,130.0,0.8198198198198198,0.1801801801801802,109,BTC
5,130.0,140.0,0.7920792079207921,0.2079207920792078,99,BTC
5,140.0,150.0,0.7625,0.2375,78,BTC
5,150.0,160.0,0.83,0.17,98,BTC
5,160.0,170.0,0.7837837837837838,0.2162162162162162,72,BTC
5,170.0,180.0,0.8,0.1999999999999999,63,BTC
5,180.0,190.0,0.8604651162790697,0.1395348837209302,41,BTC
5,190.0,200.0,0.8958333333333334,0.1041666666666666,46,BTC
5,200.0,210.0,0.7073170731707317,0.2926829268292683,39,BTC
5,210.0,220.0,0.8181818181818182,0.1818181818181817,42,BTC
5,220.0,230.0,0.8666666666666667,0.1333333333333333,28,BTC
5,230.0,240.0,0.8787878787878788,0.1212121212121212,31,BTC
5,240.0,250.0,0.9375,0.0625,30,BTC
5,250.0,260.0,0.84,0.16,23,BTC
5,260.0,270.0,0.92,0.0799999999999999,23,BTC
5,270.0,280.0,0.9545454545454546,0.0454545454545454,20,BTC
6,-320.0,-310.0,0.1818181818181818,0.8181818181818181,20,BTC
6,-280.0,-270.0,0.1428571428571428,0.8571428571428572,26,BTC
6,-270.0,-260.0,0.1481481481481481,0.8518518518518519,25,BTC
6,-260.0,-250.0,0.0666666666666666,0.9333333333333332,28,BTC
6,-250.0,-240.0,0.1515151515151515,0.8484848484848485,31,BTC
6,-240.0,-230.0,0.048780487804878,0.951219512195122,39,BTC
6,-230.0,-220.0,0.1612903225806451,0.8387096774193549,29,BTC
6,-220.0,-210.0,0.1136363636363636,0.8863636363636364,42,BTC
6,-210.0,-200.0,0.1428571428571428,0.8571428571428572,47,BTC
6,-200.0,-190.0,0.1176470588235294,0.8823529411764706,66,BTC
6,-190.0,-180.0,0.1666666666666666,0.8333333333333334,52,BTC
6,-180.0,-170.0,0.2352941176470588,0.7647058823529411,66,BTC
6,-170.0,-160.0,0.1666666666666666,0.8333333333333334,76,BTC
6,-160.0,-150.0,0.15,0.85,98,BTC
6,-150.0,-140.0,0.1442307692307692,0.8557692307692307,102,BTC
6,-140.0,-130.0,0.2254901960784313,0.7745098039215687,100,BTC
